Province/Territory,Program Stream,Employer,Incorporate Status,Approved LMIAs,Approved Positions,NOC code,Occupation name
Nova Scotia                                                                ,High Wage,V.Somasekaramdds Incorporated,Unknown,1,2,14101,Receptionists
Nova Scotia                                                                ,High Wage,Vc Courier Service Inc.,Unknown,1,2,74102,Couriers And Messengers
Nova Scotia                                                                ,High Wage,Waterview Machine Works Limited,Unknown,1,1,72106,Welders And Related Machine Operators
Nova Scotia                                                                ,Low Wage,Wasabi House Restaurant Ltd.,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,1213461 Ontario Limited,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,1431136 Nova Scotia Limited,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,1431136 Nova Scotia Limited,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,2317302 Ns Ltd,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,3110433 Nova Scotia Ltd.,Unknown,2,3,63200,Cooks
Nova Scotia                                                                ,Low Wage,3280608 Nova Scotia Limited,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,3316491 Nova Scotia Limited,Unknown,1,1,13110,Administrative Assistants
Nova Scotia                                                                ,Low Wage,3344150 Nova Scotia Limited,Unknown,2,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,4201561 Nova Scotia Limited,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,4418604 Ns Ltd,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,4430414 Nova Scotia Limited,Unknown,1,1,64100,Retail Salespersons And Visual Merchandisers
Nova Scotia                                                                ,Low Wage,4530432 Nova Scotia Limited,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,4536760 Nova Scotia Limited,Unknown,1,1,65329,Other Service Support Occupations
Nova Scotia                                                                ,Low Wage,4544086 Nova Scotia Limited,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,4544086 Nova Scotia Limited,Unknown,1,1,63202,Bakers
Nova Scotia                                                                ,Low Wage,604 Drywall Ltd.,Unknown,1,2,75110,Construction Trades Helpers And Labourers
Nova Scotia                                                                ,Low Wage,631629 Nb Inc,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,7109938 Canada Ltd.,Unknown,4,5,63210,Hairstylists And Barbers
Nova Scotia                                                                ,Low Wage,Adam Sg Bower Enterprises Limited,Unknown,1,3,63200,Cooks
Nova Scotia                                                                ,Low Wage,Aquashell Holdings Company,Unknown,1,60,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Arjenam Foods Ltd.,Unknown,3,5,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,Arjenam Foods Ltd.,Unknown,2,4,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Bluemount Group Limited,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,Buta Ramen Inc.,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,Cameron Seafoods Company,Unknown,1,7,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Captain'S Choice Lobster Limited,Unknown,1,10,95107,Labourers In Fish And Seafood Processing
Nova Scotia                                                                ,Low Wage,Celine Nails,Unknown,2,2,63211,"Estheticians, Electrologists And Related Occupations"
Nova Scotia                                                                ,Low Wage,Chef Abod Cafe And Catering,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,D2D Restaurant Inc,Unknown,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Dakota Holdings,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,Dakota Holdings,Unknown,2,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Deep Cove Aqua Farms Limited,Unknown,1,13,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Double C Truck Stop Ltd.,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,East Coast Pizza Ltd,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,East Coast Pizza Ltd,Unknown,2,5,63200,Cooks
Nova Scotia                                                                ,Low Wage,Fisherman'S Market International Incorporated,Unknown,2,14,95107,Labourers In Fish And Seafood Processing
Nova Scotia                                                                ,Low Wage,Georges Youssef Investment Ltd,Unknown,1,2,60030,Restaurant And Food Service Managers
Nova Scotia                                                                ,Low Wage,Gtl Transportation Inc,Unknown,1,5,73300,Transport Truck Drivers
Nova Scotia                                                                ,Low Wage,Habaneros Modern Taco Bar Ltd.,Unknown,3,5,63200,Cooks
Nova Scotia                                                                ,Low Wage,Halifax Tower Hotel Ltd.,Unknown,1,1,62024,Cleaning Supervisors
Nova Scotia                                                                ,Low Wage,Halifax Tower Hotel Ltd.,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,Halifax Tower Hotel Ltd.,Unknown,1,2,65310,Light Duty Cleaners
Nova Scotia                                                                ,Low Wage,Hfx Foodhub Inc.,Unknown,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Hrm Hemlock Holding Inc,Unknown,1,8,63210,Hairstylists And Barbers
Nova Scotia                                                                ,Low Wage,Hs Restaurant Holdings,Unknown,1,3,63200,Cooks
Nova Scotia                                                                ,Low Wage,J.M.P Sayles Holdings Inc.,Unknown,2,4,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,J-Cat Enterprises Limited,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,Jfj Construction Ltd,Unknown,1,1,75110,Construction Trades Helpers And Labourers
Nova Scotia                                                                ,Low Wage,Jibro Enterprise Inc,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,Jrm 277 Investments Ltd.,Unknown,2,6,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,K-Beauty Salon Inc,Unknown,1,1,63210,Hairstylists And Barbers
Nova Scotia                                                                ,Low Wage,Lealin Ltd,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,Les Entreprises Samson Enterprises Ltee,Unknown,1,2,94212,"Plastic Products Assemblers, Finishers And Inspectors"
Nova Scotia                                                                ,Low Wage,Lismore Seafoods Company,Unknown,1,52,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Liu&Meng Investment Inc.,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,Louisbourg Seafoods Limited,Unknown,1,50,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Luxe Cleaning & Organizing Ltd.,Unknown,2,2,65310,Light Duty Cleaners
Nova Scotia                                                                ,Low Wage,Ns Kt Foods Inc.,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Panada Pizza,Unknown,1,4,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Petit De Grat Packers Ltd.,Unknown,1,58,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Pyc Noodle Shop Ltd.,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,Low Wage,Pyc Noodle Shop Ltd.,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,R&G Macdonald Enterprises Ltd.,Unknown,1,2,60030,Restaurant And Food Service Managers
Nova Scotia                                                                ,Low Wage,R&G Macdonald Enterprises Ltd.,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,R&G Macdonald Enterprises Ltd.,Unknown,4,8,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,R.L. Dunlap (2019) Limited,Unknown,1,2,65310,Light Duty Cleaners
Nova Scotia                                                                ,Low Wage,Randy'S Pizza & Donair - Lower Sackville,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,Randy'S Pizza & Donair - Lower Sackville,Unknown,2,4,63200,Cooks
Nova Scotia                                                                ,Low Wage,Samson Industrial Division Limited,Unknown,1,2,94212,"Plastic Products Assemblers, Finishers And Inspectors"
Nova Scotia                                                                ,Low Wage,Scanway Catering Ltd,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,Low Wage,Scanway Catering Ltd,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,Scotia Curry Ltd.,Unknown,1,1,60030,Restaurant And Food Service Managers
Nova Scotia                                                                ,Low Wage,Sea Crest Fisheries Ltd,Unknown,1,150,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Sea Star Seafoods Limited,Unknown,2,9,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Seawell Holdings Ltd.,Unknown,1,10,95107,Labourers In Fish And Seafood Processing
Nova Scotia                                                                ,Low Wage,Silong Express,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,Sketchline Design Limited,Unknown,1,1,94150,Plateless Printing Equipment Operators
Nova Scotia                                                                ,Low Wage,Sobeys Capital Incorporée,Unknown,2,2,62010,Retail Sales Supervisors
Nova Scotia                                                                ,Low Wage,Sobeys Capital Incorporée,Unknown,4,4,63201,Butchers - Retail And Wholesale
Nova Scotia                                                                ,Low Wage,Sobeys Capital Incorporée,Unknown,1,1,65100,Cashiers
Nova Scotia                                                                ,Low Wage,Stellarton Food Inc,Unknown,1,1,65200,Food And Beverage Servers
Nova Scotia                                                                ,Low Wage,Sydney Fresh Casual Restaurants Inc.,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,T & K Hair Salon Inc.,Unknown,1,1,63211,"Estheticians, Electrologists And Related Occupations"
Nova Scotia                                                                ,Low Wage,T & K Hair Salon Inc.,Unknown,1,1,65329,Other Service Support Occupations
Nova Scotia                                                                ,Low Wage,Tako Sushi & Ramen Restaurant Limited,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Nova Scotia                                                                ,Low Wage,The Best Deal Punjabi Grocery,Unknown,1,1,64100,Retail Salespersons And Visual Merchandisers
Nova Scotia                                                                ,Low Wage,The Move Out Cleaning Specialist,Unknown,1,1,65310,Light Duty Cleaners
Nova Scotia                                                                ,Low Wage,Troystarz Trucking Inc.,Unknown,1,6,73300,Transport Truck Drivers
Nova Scotia                                                                ,Low Wage,Victoria Co-Operative Fisheries Ltd.,Unknown,1,36,94142,Fish And Seafood Plant Workers
Nova Scotia                                                                ,Low Wage,Wow! Food Systems Incorporated,Unknown,1,2,63200,Cooks
Nova Scotia                                                                ,Low Wage,Young Guns Fisheries Limited,Unknown,1,1,84121,Fishing Vessel Deckhands
Nova Scotia                                                                ,Primary Agriculture,15398045 Canada Inc.,Unknown,1,3,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,3226198 Ns Ltd,Unknown,2,91,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Allen Farms Limited,Unknown,3,63,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Atlantic Poultry Inc.,Corporation,1,1,85100,Livestock Labourers
Nova Scotia                                                                ,Primary Agriculture,Balamore Farm Ltd,Unknown,1,113,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,"Basinview Farms,Ltd.",Unknown,1,11,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Birchleigh Farms Ltd.,Unknown,1,6,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Bloom Greenhouse And Garden Centre Ltd.,Unknown,1,4,85103,Nursery And Greenhouse Labourers
Nova Scotia                                                                ,Primary Agriculture,Bragg Lumber Company,Unknown,1,1,84120,Specialized Livestock Workers And Farm Machinery Operators
Nova Scotia                                                                ,Primary Agriculture,Bragg Lumber Company,Unknown,2,17,85100,Livestock Labourers
Nova Scotia                                                                ,Primary Agriculture,Canard Orchards Ltd,Unknown,2,7,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Charles Keddy Farms Limited,Unknown,1,10,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Craig Nichols Farms Limited,Unknown,3,10,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Crisp Growers Incorporated,Unknown,4,15,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Delong Farm Products Limited,Unknown,1,1,85103,Nursery And Greenhouse Labourers
Nova Scotia                                                                ,Primary Agriculture,Eco Ponds Organics,Unknown,1,4,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Ellslea Farms Limited,Unknown,1,3,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Eyking Brothers Farm Ltd,Unknown,1,23,85101,Harvesting Labourers
Nova Scotia                                                                ,Primary Agriculture,Forest Glen Greenhouses Ltd.,Unknown,2,11,85103,Nursery And Greenhouse Labourers
